No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
57,Social Media / Feed,General,"Feed, timeline, post, story, social, connect, share, like, follow, content-first","Brand-specific (Instagram: pink-orange, Twitter: blue, TikTok: black)","White/Light background, Story gradient","Like animations, story ring, infinite scroll, share sheet, notification badge, loading skeleton","Social platforms, community apps, content sharing, influencer tools","Enterprise, B2B, medical, finance",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 8/10, Custom CSS 8/10",2010s-Present,Low,"Design a social media feed UI. Use: content-first layout, story rings, like/share interactions, infinite scroll, notification badge, user avatar system. Social and engaging.","feed: card-based; story: circle ring; like: heart animation; infinite-scroll: virtual list; badge: notification","☐ Story rings, ☐ Like animation, ☐ Infinite scroll, ☐ Notification badge, ☐ Avatar system, ☐ Share sheet","--story-ring: gradient, --like: heart, --scroll: infinite, --badge: notification"
58,Developer Tools / IDE,General,"Code, syntax highlighting, terminal, dark, developer, editor, documentation","Dark Background #1E1E1E, Syntax Blue #569CD6, String Orange #CE9178","Comment Grey #6A9955, Keyword Purple #C586C0, Number Green #B5CEA8","Syntax color transitions, cursor blink, code completion animations, diff highlights, linting indicators","Developer tools, code editors, documentation sites, API platforms","Consumer apps, children, healthcare, mainstream B2C",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Custom CSS 9/10, CodeMirror, Monaco",2000s-Present,Low,"Design a developer tool IDE-style UI. Use: VS Code dark theme colors, syntax highlighting palette, monospace fonts, terminal integration, file tree sidebar, tab bar, code editor main area.","font: monospace; background: #1E1E1E; syntax: colors as defined; terminal: embedded; tabs: multiple","☐ Syntax highlighting, ☐ File tree, ☐ Tab system, ☐ Terminal integration, ☐ Monospace font, ☐ Dark theme","--editor-bg: #1E1E1E, --syntax-blue: #569CD6, --syntax-orange: #CE9178, --mono: monospace"
59,Luxury Real Estate,General,"Luxury property, premium homes, high-net-worth, exclusive, concierge, prestige","Charcoal #1C1C1E, Gold #C9A84C, Champagne #F5E6C8","Deep Navy, Warm White, Stone Grey","Cinematic property tours, gold accent reveals, premium gallery transitions, concierge chat","Luxury real estate, premium property, high-net-worth audience","Budget housing, mass market, casual browsing",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Custom CSS 9/10",Luxury Market,High,"Design a luxury real estate UI. Use: charcoal/gold/champagne palette, cinematic full-bleed property photography, gold accent reveals, concierge chat, premium gallery. Exclusive prestige.","color: gold + charcoal; imagery: cinematic; gallery: premium; transition: cinematic; font: serif luxury","☐ Cinematic imagery, ☐ Gold accents, ☐ Luxury typography, ☐ Premium gallery, ☐ Concierge feature, ☐ Prestige feel","--charcoal: #1C1C1E, --gold: #C9A84C, --champagne: #F5E6C8, --serif: luxury"
60,Crypto / Web3,General,"Blockchain, crypto, NFT, DeFi, Web3, token, wallet, decentralized","Dark Purple #1A0533, Electric Blue #00D4FF, Token Gold #FFB800","Matrix Green, Neon Pink, Dark base","Token count animations, blockchain transaction animations, wallet connect, NFT gallery","Crypto exchanges, NFT markets, DeFi platforms, Web3 apps","Healthcare, children, traditional finance, government",⚠ Limited,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,✓ High,"Tailwind 7/10, Custom CSS 8/10",2020s Web3,High,"Design a crypto Web3 UI. Use: dark purple/electric blue/gold palette, blockchain transaction animations, NFT gallery, wallet connect button, token counter, DeFi protocol interface. Futuristic decentralized.","background: dark; accent: electric/gold; animation: blockchain; wallet: connect; NFT: gallery; token: display","☐ Dark base, ☐ Electric accent, ☐ Wallet connect, ☐ Token display, ☐ NFT gallery, ☐ Blockchain animation","--dark-purple: #1A0533, --electric: #00D4FF, --token-gold: #FFB800"
61,Government / Civic,General,"Government, official, accessible, civic, public service, trusted, institutional","Navy Blue #003366, Red #CC0000, White #FFFFFF","Grey #767676, Light Blue #E6F0FF, Flag colors","None or extremely subtle — accessibility first","Government sites, civic platforms, public services, official portals","Entertainment, gaming, luxury, artistic",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Bootstrap 9/10, Tailwind 7/10",Institutional,Low,"Design a government civic UI. Use: navy/red/white official palette, accessible layout, clear navigation, official typography, public service forms, WCAG AAA compliance. Trusted and institutional.","color: official palette; font: accessible; form: clear; nav: simple; wcag: AAA; layout: government","☐ Official color palette, ☐ WCAG AAA, ☐ Clear navigation, ☐ Accessible forms, ☐ Official typography, ☐ Trust signals","--navy: #003366, --red: #CC0000, --white: #fff, --wcag: AAA compliant"
62,NFT / Digital Art,General,"Digital art, NFT marketplace, collection, mint, rarity, gallery, collectors","Dark Base, Vivid artwork colors","Gallery white, Rarity highlight colors","Mint animations, rarity reveal, art gallery transitions, collection showcase","NFT marketplaces, digital art platforms, collectors, artists","Enterprise, finance, healthcare, children",⚠ Limited,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,✓ High,"Custom CSS 8/10",2021-Present,High,"Design an NFT digital art marketplace UI. Use: dark gallery aesthetic, artwork as hero, rarity badge system, mint button animation, collection grid, artist profiles. Art-forward curation.","background: dark gallery; artwork: hero; rarity: badge; mint: animated button; grid: collection","☐ Art-forward layout, ☐ Dark gallery base, ☐ Rarity system, ☐ Mint animation, ☐ Collection grid, ☐ Artist profile","--gallery-dark: base, --rarity: highlight, --mint: CTA, --collection: grid"
63,Startup / Growth Hacking,General,"Startup, growth, viral, product hunt, launch, metrics, conversion, early adopter","Gradient Purple-Blue, Orange CTA #F97316","White, Light grey, Product Hunt orange","Viral share animations, referral counter, launch countdown, viral loop flows","Startup launches, product hunt listings, growth tools, viral products","Enterprise legacy, government, healthcare, conservative industries",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 9/10, Custom CSS 8/10",2010s-Present,Low,"Design a startup launch page. Use: bold gradient (purple-blue), orange CTA, countdown timer, waitlist form, viral referral mechanics, early adopter messaging. Growth-focused and energetic.","gradient: purple-blue; CTA: orange; countdown: live; waitlist: prominent; referral: viral loop","☐ Hero with CTA, ☐ Countdown timer, ☐ Waitlist form, ☐ Referral system, ☐ Social proof, ☐ Viral loop","--gradient: purple-blue, --cta-orange: #F97316, --countdown: live, --waitlist: prominent"
64,Minimalist Dark,General,"Dark minimal, refined dark, sophisticated dark, understated, premium dark UI","Charcoal #18181B, Zinc #27272A, White #FAFAFA","Single subtle accent (any), Zinc-400 for secondary","Subtle dark hover states, refined transitions, no harsh glows, elegant dark interactions","Developer tools, premium SaaS, dark-preferred audiences, creative tools","Consumer mainstream, children apps, healthcare, government",⚠ Limited,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 9/10, shadcn/ui",2020s,Low,"Design a minimalist dark UI. Use: charcoal/zinc dark palette, refined subtle interactions, single accent color, understated elegance. Not cyberpunk — sophisticated and clean dark.","background: #18181B; surface: #27272A; color: #FAFAFA; accent: single; no harsh glow; subtle transitions","☐ Charcoal base, ☐ Zinc surfaces, ☐ Single accent, ☐ Subtle hover, ☐ No harsh glow, ☐ Refined typography","--bg: #18181B, --surface: #27272A, --text: #FAFAFA, --accent: single subtle"
65,Retro Futurism,General,"Retrofuturism, atomic age, space age optimism, 1950s-60s future, chrome, rocket, optimistic future","Atomic Orange #FF6B35, Chrome Silver, Space Blue #1B4F72","Cream #FFF8E7, Rocket Red, Mint #98D8C8","Rocket launch animations, chrome reflections, atomic age transitions, retro-optimistic interactions","Brand heritage, creative projects, retro brands, concept designs","Modern tech startups, gaming, enterprise",✓ Full,✓ Full,⚡ Excellent,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10",1950s-60s Imagined Future,High,"Design a retrofuturism UI. Use: 1950s-60s imagined future aesthetic, atomic orange/chrome/space blue palette, rocket-age optimism, chrome reflections, retro-futuristic typography. Past's vision of the future.","color: atomic orange + chrome; font: retro-futuristic; chrome: metallic gradient; rocket: motifs","☐ Atomic age palette, ☐ Chrome effects, ☐ Retro-futuristic font, ☐ Space age motifs, ☐ Optimistic aesthetic","--atomic-orange: #FF6B35, --chrome: metallic, --space-blue: #1B4F72, --cream: #FFF8E7"
66,Zen / Meditation,General,"Zen, minimalism, meditation, silence, emptiness, ma (negative space), calm, peace","White #FFFFFF, Stone #8B8680, Bamboo #7C9A5E","Sand, Water blue, Black ink","Breathing animations only, extreme stillness, delayed interactions, silence-first design","Meditation apps, zen brands, mindfulness, spiritual wellness","High-urgency apps, e-commerce, gaming, social media",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Custom CSS 10/10",Zen Buddhism,High,"Design a zen meditation UI. Use: white/stone/bamboo palette, extreme negative space (ma), breathing animation, delayed minimal interactions, silence-first design. Use as little as possible. Emptiness is the point.","white-space: dominant; animation: breathing only; color: stone + white; text: minimal; silence: by design","☐ Extreme whitespace, ☐ Minimal elements, ☐ Breathing animation, ☐ No urgency, ☐ Stone/white palette, ☐ Ma (space) principle","--white: dominant, --stone: #8B8680, --bamboo: #7C9A5E, --ma: negative space"
67,Holographic / Iridescent,General,"Holographic, iridescent, rainbow, shifting colors, chrome, opal, pearlescent","Rainbow spectrum shifting, Chrome #E8E8E8, Deep Dark base","Opal iridescent, Pearl white, Prismatic colors","Holographic shine animation, CSS hue-rotate, prism effect, iridescent border, color-shift hover","Fashion tech, beauty, premium brands, AR/VR, futuristic","Traditional brands, government, healthcare, accessibility-critical",⚠ Limited,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,✓ High,"Custom CSS 10/10",2022-Present,High,"Design a holographic iridescent UI. Use: rainbow color-shifting effects, CSS hue-rotate animation, prismatic borders, holographic card shine, opal/pearlescent surfaces. Shifting colors and light.","animation: hue-rotate 3s infinite; background: linear-gradient rainbow; border: iridescent; filter: hue-rotate","☐ Hue-rotate animation, ☐ Rainbow gradient, ☐ Prismatic borders, ☐ Shine effect, ☐ Dark base, ☐ Color-shift hover","--holo: hue-rotate animation, --rainbow: gradient, --prism: border, --opal: surface"
68,Minimalist Mobile (iOS),Mobile,"iOS, minimal, clean, native iOS, system fonts, gestures, haptics, iOS HIG","iOS Blue #007AFF, White #FFFFFF, System Background","iOS Grey, Separator, Label colors","iOS spring animations, haptic feedback references, swipe gestures, tab bar, modal sheets","iOS apps, mobile-first experiences, iPhone optimization","Android-first, cross-platform generic, desktop",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"SwiftUI 10/10, React Native 8/10",iOS HIG,Low,"Design an iOS-native mobile UI. Use: iOS system blue #007AFF, SF Pro Rounded font, tab bar navigation, modal sheets, swipe gestures, iOS spring animations, system colors. Native iPhone feel.","font: SF Pro; color: #007AFF; tab-bar: native; modal: sheet; spring: animation; swipe: gesture","☐ Tab bar, ☐ iOS system colors, ☐ SF Pro font, ☐ Modal sheets, ☐ Swipe gestures, ☐ Spring animations","--ios-blue: #007AFF, --bg: system, --font: SF Pro, --spring: animation"
69,Material You (Android),Mobile,"Material You, Android 12+, dynamic color, personal, adaptive, Google","Dynamic color (user-defined), M3 baseline","Tonal palette auto-generated from wallpaper","Ripple, material motion, color extraction, tonal elevation, dynamic color schemes","Android apps, Wear OS, Google ecosystem","iOS-only, cross-platform generic, non-Google",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Jetpack Compose 10/10, Flutter 9/10",Android 12+,Low,"Design a Material You Android UI. Use: dynamic color system (tonal palette), M3 components, ripple effects, tonal elevation, NavigationBar, FAB. Personal and adaptive color.","color: dynamic/tonal; M3: components; ripple: interactions; elevation: tonal; FAB: primary action","☐ Dynamic color, ☐ M3 components, ☐ NavigationBar, ☐ FAB, ☐ Tonal elevation, ☐ Ripple","--dynamic: user color, --tonal: auto-palette, --M3: components, --ripple: interaction"
70,Dark Gaming Mobile,Mobile,"Mobile gaming, dark, aggressive, leaderboard, achievement, progression, battle","Neon Yellow #EAB308, Electric Blue #2563EB, Dark #111827","Neon Red #DC2626, Purple #7C3AED, Black","Achievement unlock, progression bar, battle animations, leaderboard slide-in","Mobile games, esports mobile, gaming apps","Healthcare, finance, children education, enterprise",⚠ Limited,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,✓ High,"Custom CSS 8/10, Unity WebGL",2015-Present,High,"Design a dark mobile gaming UI. Use: neon yellow/electric blue/dark palette, achievement unlock animations, XP progression bars, leaderboard, battle states, aggressive typography. Mobile game energy.","background: dark; neon: accent; achievement: animated; XP: progress bar; leaderboard: table; mobile: touch","☐ Dark base, ☐ Neon accents, ☐ Achievement system, ☐ XP bar, ☐ Leaderboard, ☐ Touch targets 44px","--neon-yellow: #EAB308, --electric: #2563EB, --dark: #111827, --achievement: animated"
71,Wellness Tracker (Mobile),Mobile,"Health tracking, steps, calories, sleep, heart rate, wellness metrics, progress","Fresh Green #22C55E, Ocean Blue #0EA5E9, Warm White","Peach #FED7AA, Lavender #DDD6FE, Energy Orange","Ring progress animations, metric count-up, streak celebrations, heart rate pulse","Fitness trackers, health apps, wellness, sleep apps","Gaming, enterprise, finance, professional tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"SwiftUI 9/10, React Native 8/10",2015-Present,Low,"Design a wellness mobile tracker UI. Use: fresh green/blue palette, circular progress rings, metric dashboards, streak counter, heart rate display, daily goals. Health-forward and motivating.","progress: ring SVG; metrics: card; streak: counter; heart-rate: pulse animation; goal: circle","☐ Progress rings, ☐ Metric cards, ☐ Streak display, ☐ Heart rate, ☐ Daily goals, ☐ Motivating feedback","--health-green: #22C55E, --ocean: #0EA5E9, --ring: circular, --streak: counter"
72,Food Delivery (Mobile),Mobile,"Food delivery, order tracking, restaurant browse, cart, delivery map, eta","Delivery Red #DC2626, Fresh Green #22C55E, White","Orange #F97316, Yellow #FACC15, Light backgrounds","Order status animation, map tracking, cart bounce, delivery ETA countdown, rating stars","Food delivery apps, restaurant ordering, grocery delivery","Enterprise, B2B, finance, developer tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"React Native 9/10, Tailwind 8/10",2015-Present,Low,"Design a food delivery mobile UI. Use: red/green delivery palette, live order tracking map, restaurant cards, cart interaction, ETA countdown, rating system. Fast and appetizing.","map: live tracking; cart: animated; ETA: countdown; restaurant: card; rating: stars; order: status","☐ Live map tracking, ☐ Restaurant cards, ☐ Cart interaction, ☐ ETA display, ☐ Rating system, ☐ Order status","--delivery-red: #DC2626, --fresh: #22C55E, --map: live, --cart: animated"
73,Finance Mobile,Mobile,"Personal finance, budgeting, spending, savings, investment, mobile banking","Trust Blue #1E40AF, Growth Green #16A34A, White","Alert Red #DC2626, Grey #6B7280, Gold #B8860B","Balance count-up, spending chart animate-in, budget progress ring, investment graph","Personal finance apps, budgeting, mobile banking, investment apps","Gaming, entertainment, children, casual consumers",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"React Native 9/10, SwiftUI 8/10",2015-Present,Low,"Design a personal finance mobile UI. Use: trust blue/green palette, balance display, spending categories chart, budget rings, transaction history, savings goals. Financial clarity on mobile.","balance: prominent; chart: spending; budget: ring; transaction: list; goal: progress; font: tabular-nums","☐ Balance display, ☐ Spending chart, ☐ Budget rings, ☐ Transaction list, ☐ Savings goals, ☐ Tabular numbers","--trust-blue: #1E40AF, --growth: #16A34A, --balance: prominent, --tabular: nums"
74,Social Stories (Mobile),Mobile,"Stories, ephemeral, vertical video, Reels, TikTok, swipe up, full screen","Story gradient (brand), Black #000000, White #FFFFFF","Story ring colors, Reaction emoji palette","Story progress bar, swipe-up reveal, tap-to-next, reaction animations, story ring","Social media, story features, vertical video, ephemeral content","Long-form content, enterprise, data-heavy, desktop-first",⚠ Limited,✓ Full,⚡ Excellent,⚠ WCAG AA,✓ High,✓ High,"React Native 9/10, Custom CSS 8/10",2016-Present,Medium,"Design a mobile stories UI. Use: full-screen vertical format, story progress bar at top, tap-to-next/previous, swipe-up CTA, story ring avatars, reaction bar. Instagram/TikTok-style.","full-screen: 100vh; progress: top bar; tap: next/prev; swipe: up CTA; ring: story avatar; react: emoji","☐ Full-screen vertical, ☐ Progress bar, ☐ Tap navigation, ☐ Swipe-up, ☐ Story ring, ☐ Reactions","--full-screen: 100vh 100vw, --progress: top, --ring: story, --swipe: up"
75,Augmented Reality UI,Mobile,"AR, augmented reality, overlay, spatial, camera, real-world, anchored UI","Transparent overlays, AR Blue #00D4FF, White #FFFFFF","Spatial anchors, Warning Red, Info colors","AR anchor animations, spatial transitions, scan animations, world-space UI, AR placement","AR apps, spatial computing, camera apps, AR shopping","Traditional web, enterprise desktop, print, data tools",✓ Full,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,◐ Medium,"ARKit, ARCore, WebXR",2020s,High,"Design an AR augmented reality UI overlay. Use: transparent/minimal UI overlays for camera view, AR anchors, spatial UI elements, scan animations, world-space interactions. Camera-native.","overlay: transparent; anchor: AR; scan: animation; spatial: positioned; UI: minimal on camera","☐ Transparent overlays, ☐ AR anchors, ☐ Scan animation, ☐ World-space UI, ☐ Minimal occlusion, ☐ Camera integration","--overlay: transparent, --ar-blue: #00D4FF, --anchor: spatial, --scan: animated"
76,Wearable / Watch UI,Mobile,"Smartwatch, wearable, Apple Watch, Wear OS, tiny screen, glanceable, complications","Black #000000, White #FFFFFF, Accent (any)","Muted on-watch colors","Crown/digital crown interaction, complication animations, glanceable data, haptic feedback","Smartwatch apps, WatchOS, Wear OS, wearable displays","Complex data tools, desktop apps, long-form content",⚠ Limited,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"SwiftUI WatchKit 10/10",2015-Present,High,"Design a smartwatch wearable UI. Use: circular/rounded watch shape, glanceable data display, complications, minimal text, large tap targets for tiny screens, crown scroll interaction.","screen: circular 400px; font: large glanceable; complication: widget; touch: large targets","☐ Glanceable data, ☐ Complications, ☐ Minimal text, ☐ Large targets, ☐ Watch shape, ☐ Crown interaction","--watch-screen: circular, --font: glanceable, --complication: widget, --crown: scroll"
77,Tablet / iPad UI,Mobile,"Tablet, iPad, landscape, split view, sidebar, master-detail, multitasking","Any — tablet-optimized palette","Sidebar accent, Content area neutral","Split-view transitions, sidebar collapse, pointer hover (pencil), drag-drop, multitasking","iPad apps, tablet-first, enterprise tablet, educational tablets","Watch UI, tiny screens, purely mobile phone designs",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"SwiftUI 9/10, React Native Web 7/10",iPad era 2010+,Medium,"Design a tablet iPad UI. Use: master-detail split view, collapsible sidebar, landscape-first layout, Apple Pencil support, drag-drop, pointer hover states. iPad-native patterns.","split-view: master-detail; sidebar: collapsible; landscape: primary; pencil: hover; drag-drop: enabled","☐ Split view, ☐ Sidebar collapse, ☐ Landscape layout, ☐ Pencil support, ☐ Drag-drop, ☐ Multitasking","--sidebar: master, --content: detail, --landscape: primary, --pencil: hover"
78,Chat / Messaging (Mobile),Mobile,"Chat, messaging, bubbles, typing indicator, read receipts, reactions, voice messages","User Blue #2563EB, Received Grey #F3F4F6, White","Online Green, Error Red, Emoji palette","Typing indicator animation, message send animation, reaction pop, voice waveform, read receipt","Messaging apps, chat support, customer service, community apps","Data tools, enterprise desktop, print, documentation",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"React Native 9/10, Custom CSS 8/10",2012-Present,Low,"Design a mobile chat messaging UI. Use: message bubble system, typing indicator, read receipts, emoji reactions, voice message waveform, online status. WhatsApp/iMessage style.","bubble: sent/received; typing: animated dots; reaction: emoji pop; voice: waveform; status: online indicator","☐ Message bubbles, ☐ Typing indicator, ☐ Read receipts, ☐ Reactions, ☐ Voice waveform, ☐ Online status","--sent: blue bubble, --received: grey bubble, --typing: animated, --reaction: emoji"
79,Navigation / Maps (Mobile),Mobile,"Maps, navigation, GPS, route, directions, real-time, location","Map Blue #2563EB, Route Green #16A34A, Warning Orange #F97316","Map neutral greys, Traffic red, POI colors","Route animation, location pulse, ETA count-up, turn-by-turn transitions, traffic overlay","Navigation apps, maps, location services, ride-sharing","Static content, documentation, enterprise desktop, print",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Mapbox, Google Maps SDK, React Native Maps",2007-Present,Medium,"Design a mobile maps navigation UI. Use: map as primary canvas, route overlay, turn-by-turn instructions, ETA display, location pulse, search bar, POI cards. Google Maps style.","map: full canvas; route: polyline; location: pulse; ETA: prominent; search: top; POI: card","☐ Map full canvas, ☐ Route display, ☐ Location pulse, ☐ ETA display, ☐ Turn-by-turn, ☐ POI cards","--route: #16A34A, --warning: #F97316, --location: pulse, --map: full-canvas"
80,E-commerce Mobile,Mobile,"Mobile shopping, product browse, cart, checkout, wishlist, filters, mobile commerce","Brand CTA color, Clean White, Trust Blue","Sale Red #EF4444, New badge, Premium Gold","Quick add animation, filter slide, product zoom, cart badge update, checkout flow","Mobile commerce, product apps, shopping apps, m-commerce","Enterprise B2B, developer tools, documentation",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"React Native 9/10, Tailwind Mobile 8/10",2015-Present,Low,"Design a mobile e-commerce UI. Use: product grid with large images, filter/sort system, quick-add to cart, wishlist, fast checkout, product zoom. Mobile-first commerce.","product: large image card; filter: bottom sheet; cart: badge; checkout: simplified; wishlist: heart","☐ Product grid, ☐ Filter sheet, ☐ Cart badge, ☐ Quick-add, ☐ Wishlist, ☐ Mobile checkout","--cta: prominent, --product: large card, --cart: badge, --filter: bottom sheet"
81,Onboarding / Splash (Mobile),Mobile,"Splash screen, onboarding, app intro, permissions, first launch, welcome flow","Primary brand colors","Neutral background, Illustration accents","Splash animation, onboarding swipe, permission explain, lottie intro, skip option","Mobile app launches, onboarding flows, permission screens, new user intro","Returning users, desktop apps, data-heavy tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"React Native + Lottie 9/10",Mobile App Era,Low,"Design a mobile onboarding splash flow. Use: animated splash screen, illustrated onboarding steps, permission explain screens, progress dots, skip option. First impression excellence.","splash: logo animation; onboard: swipe screens; permission: explain; progress: dots; skip: accessible","☐ Splash animation, ☐ Swipe onboarding, ☐ Permission screens, ☐ Progress dots, ☐ Skip option, ☐ Brand impression","--splash: logo, --dots: progress, --swipe: onboard, --permission: explain"
82,Ride-Sharing (Mobile),Mobile,"Ride sharing, taxi, driver, passenger, booking, live tracking, pickup, Uber-style","Uber Black #000000, Uber Green #76BC43, White #FFFFFF","Surge Orange #F97316, Map Blue, Status colors","Car approach animation, driver match, ETA countdown, map route live, rating submit","Ride-sharing apps, taxi apps, delivery tracking, logistics","Enterprise, finance, static content, desktop tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"React Native 9/10, Mapbox",2010s-Present,Medium,"Design a ride-sharing mobile UI. Use: map-first layout, driver matching animation, ETA countdown, car approach animation, rating flow, surge pricing indicator. Uber-style.","map: primary; driver: animated approach; ETA: countdown; rating: post-trip; surge: indicator","☐ Map-first, ☐ Driver matching, ☐ Car animation, ☐ ETA countdown, ☐ Rating flow, ☐ Surge pricing","--black: #000, --green: #76BC43, --surge: #F97316, --map: primary"
83,Enterprise SaaS (Mobile),Mobile,"enterprise, saas, b2b, professional, indigo, violet, gradient, productivity, dashboard, data, metrics, analytics, mobile, business","Indigo #4F46E5, Violet #7C3AED","White, Light grey #F8FAFC, Slate #64748B","Dashboard metric transitions, report filter slide, data table scroll, KPI count-up, chart animate-in","Enterprise mobile apps, B2B mobile platforms, business dashboard mobile","Consumer gaming, children, entertainment, creative",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 9/10, React Native 8/10",2020s Enterprise Mobile,Low,"Design an enterprise SaaS mobile UI. Use: indigo/violet professional palette, mobile dashboard with KPIs, collapsible sidebar, data table, report filters, metric charts. Business-first mobile.","color: indigo-violet; dashboard: mobile; KPI: cards; sidebar: collapsible; chart: mobile-optimized","☐ Mobile KPI cards, ☐ Collapsible sidebar, ☐ Data table scroll, ☐ Report filters, ☐ Chart mobile, ☐ Professional palette","--indigo: #4F46E5, --violet: #7C3AED, --slate: #64748B, --bg: #F8FAFC"
84,Sketch Hand-Drawn (Mobile),Mobile,"sketch, hand-drawn, handwriting, wobbly, imperfect, paper, kalidokit, mobile-first, educational, creative, doodle, illustration","Cream Paper #F9F5F0, Pencil Grey #6B6B6B","Highlight Yellow #FACC15, Marker Blue #3B82F6, Eraser Pink #FCA5A5","Pencil drawing animation, page flip, highlight sweep, erase interaction, sketch reveal","Educational mobile apps, creative tools, note-taking, sketch apps","Enterprise, finance, medical, professional tools",✓ Full,✓ Full,⚡ Excellent,⚠ WCAG AA,✓ High,◐ Medium,"React Native 8/10, Custom CSS 8/10",Illustration Culture,Medium,"Design a hand-drawn sketch mobile UI. Use: cream paper background, pencil-grey lines, wobbly hand-drawn borders, highlight yellow, sketch animation reveals, educational and creative feel.","background: cream paper; border: wobbly SVG; font: handwriting; animation: draw; highlight: sweep","☐ Paper texture bg, ☐ Wobbly borders, ☐ Handwriting font, ☐ Sketch animations, ☐ Highlight sweep, ☐ Creative feel","--paper: #F9F5F0, --pencil: #6B6B6B, --highlight: #FACC15, --wobbly: SVG border"
85,Neumorphism (Mobile),Mobile,"neumorphism, soft ui, dual shadow, extruded, inset, clay surface, mobile, soft-shadow, monochromatic","Soft White #E4EBF5, Light Grey #CBD5E1","Muted Blue #93C5FD, Soft Pink #FCA5A5, Pale Green #86EFAC","Dual shadow pressed/raised states, convex/concave toggle, touch ripple soft, depth on tap","Mobile calculators, toggles, music players, concept UIs","Accessibility-critical, high-contrast needed, dark mode required, enterprise",✓ Full,⚠ Challenging,⚡ Excellent,⚠ WCAG AA Only,◐ Medium,◐ Medium,"React Native 7/10, Custom CSS 8/10",2019-2021,Medium,"Design a neumorphic mobile UI. Use: soft grey-white base, dual box-shadow (light top-left, dark bottom-right), pressed inset state on tap, convex raised default. Tactile soft-shadow feel.","box-shadow: dual; background: #E4EBF5; border-radius: 20px; pressed: inset shadow; raised: outset shadow","☐ Dual shadow, ☐ Pressed state, ☐ Raised state, ☐ Monochromatic base, ☐ Touch feedback, ☐ No harsh edges","--soft-white: #E4EBF5, --shadow-dark: #b8bec7, --shadow-light: #fff, --pressed: inset"
